,class
73092,anomaly
73144,anomaly
109799,normal
4893,anomaly
112955,normal
73526,anomaly
117365,anomaly
101717,normal
31205,anomaly
999,normal
47960,normal
27840,normal
102549,anomaly
93841,anomaly
23875,normal
37047,normal
75062,anomaly
66647,normal
34056,anomaly
102579,anomaly
65691,normal
30972,normal
94195,normal
94413,normal
71636,anomaly
50589,anomaly
39120,anomaly
125734,normal
125582,anomaly
31769,anomaly
85281,anomaly
27600,anomaly
24047,normal
75920,normal
79469,normal
18399,normal
66884,normal
123426,anomaly
36034,normal
58850,normal
73043,anomaly
43103,normal
2284,normal
113138,normal
85243,anomaly
40703,anomaly
58803,normal
125384,normal
8874,anomaly
89669,normal
2722,normal
103607,anomaly
62413,anomaly
110519,normal
27329,anomaly
88565,normal
26944,normal
69635,anomaly
77596,anomaly
4240,anomaly
6061,anomaly
6025,normal
71848,normal
48726,anomaly
35923,anomaly
89473,normal
98492,anomaly
19904,normal
69554,normal
97839,anomaly
92855,anomaly
21868,normal
30940,normal
125805,normal
65469,anomaly
83701,anomaly
39052,normal
118730,normal
100899,anomaly
28539,normal
83638,anomaly
66485,anomaly
2399,anomaly
57337,normal
51859,anomaly
40082,anomaly
65705,anomaly
102708,anomaly
118717,normal
78225,anomaly
121998,normal
125501,normal
7975,normal
46755,normal
70676,normal
70033,anomaly
32698,anomaly
49762,normal
46375,anomaly
65775,anomaly
102429,normal
29651,normal
56220,anomaly
49857,anomaly
29302,anomaly
58461,normal
102793,normal
772,normal
99278,normal
115975,normal
22060,normal
60540,anomaly
5056,anomaly
98797,anomaly
90906,anomaly
4882,normal
90756,anomaly
125204,normal
62466,normal
114967,normal
119278,anomaly
89232,anomaly
93830,normal
54071,anomaly
83992,anomaly
21099,normal
96785,anomaly
116522,anomaly
47538,normal
59955,anomaly
31730,anomaly
771,anomaly
94423,normal
79205,anomaly
30912,anomaly
75086,anomaly
63024,normal
31184,anomaly
73289,normal
20438,normal
65819,normal
16125,anomaly
112917,anomaly
121726,normal
50843,normal
94293,anomaly
80256,anomaly
26560,normal
27325,normal
50825,anomaly
53688,normal
78274,anomaly
78973,normal
21922,anomaly
50037,anomaly
70523,anomaly
84309,normal
31633,anomaly
7598,anomaly
97479,normal
1075,anomaly
16782,anomaly
122017,anomaly
75550,normal
5909,normal
103217,anomaly
35688,normal
88492,normal
43854,normal
83261,anomaly
33232,anomaly
99088,normal
65477,normal
28193,anomaly
36333,anomaly
37229,anomaly
6474,anomaly
122083,anomaly
103011,normal
4631,anomaly
20052,anomaly
124382,normal
18488,normal
20628,normal
52985,normal
97066,normal
62816,normal
70061,anomaly
105975,normal
59152,normal
55470,normal
99561,normal
61982,anomaly
9316,normal
123333,normal
112055,anomaly
20728,normal
78589,normal
17089,normal
65656,anomaly
10682,anomaly
11875,normal
91587,anomaly
122544,normal
26078,anomaly
36293,normal
108892,normal
8530,normal
29310,anomaly
59255,normal
8426,normal
33703,normal
91777,normal
69739,normal
22370,anomaly
89145,anomaly
26988,normal
22845,normal
61539,anomaly
74511,anomaly
78463,normal
117605,normal
117012,normal
23455,normal
119029,normal
5018,anomaly
10689,anomaly
88109,normal
105202,normal
107111,anomaly
124946,normal
91722,normal
73420,anomaly
31749,normal
4224,anomaly
3644,anomaly
89302,normal
113463,anomaly
14528,normal
122719,normal
74287,normal
50276,anomaly
67909,anomaly
55327,anomaly
40111,normal
65804,normal
53825,anomaly
82087,normal
78778,anomaly
81898,anomaly
56650,anomaly
82891,anomaly
61060,anomaly
81106,normal
108344,normal
123789,normal
29020,anomaly
109585,anomaly
73886,normal
10870,anomaly
15878,anomaly
40182,anomaly
9935,anomaly
107083,normal
121657,normal
31381,anomaly
29744,anomaly
104307,anomaly
118109,normal
115573,normal
52918,normal
12616,normal
41656,normal
9075,normal
39068,normal
108274,normal
79685,anomaly
50275,normal
27997,anomaly
122568,normal
29883,normal
8850,anomaly
100427,anomaly
95272,normal
22804,normal
114933,normal
56828,anomaly
86237,normal
109909,anomaly
122614,anomaly
50399,anomaly
24980,normal
94167,normal
62109,normal
75136,anomaly
52246,normal
51143,anomaly
41523,normal
113130,anomaly
117641,normal
103661,anomaly
122842,normal
114400,anomaly
84241,normal
38358,anomaly
95932,anomaly
61533,normal
3550,anomaly
125345,normal
95366,normal
69816,normal
125875,normal
90994,normal
125372,normal
112712,anomaly
41625,anomaly
20024,anomaly
88132,anomaly
121793,anomaly
55707,anomaly
33745,normal
48299,anomaly
17251,normal
84832,anomaly
33947,normal
61126,anomaly
51180,normal
117062,anomaly
56946,normal
24910,normal
111532,normal
102143,normal
85285,anomaly
11859,anomaly
80030,normal
79391,normal
13183,normal
42144,anomaly
3973,anomaly
53683,normal
83296,anomaly
65999,normal
79067,anomaly
6198,normal
27061,normal
104737,anomaly
8480,anomaly
10192,normal
90440,anomaly
99957,anomaly
55929,normal
101159,normal
86600,normal
58429,normal
2005,anomaly
56066,anomaly
43399,anomaly
116699,normal
107717,normal
81670,normal
78374,anomaly
83347,normal
18341,anomaly
98548,normal
37054,anomaly
86077,anomaly
89618,normal
50542,anomaly
62700,anomaly
76731,normal
38780,anomaly
30488,anomaly
22647,normal
11982,anomaly
72366,anomaly
10231,normal
22557,anomaly
80622,anomaly
73729,normal
37725,normal
118607,normal
60470,anomaly
42519,anomaly
77345,anomaly
70240,normal
48983,normal
123429,normal
121832,normal
81374,normal
122487,anomaly
23078,normal
23017,normal
95794,normal
103983,anomaly
80281,normal
47568,anomaly
125156,normal
11197,normal
117471,anomaly
66489,normal
19044,anomaly
69746,anomaly
81569,anomaly
109822,anomaly
85387,normal
109951,anomaly
94906,normal
97223,normal
60090,anomaly
104882,normal
33658,anomaly
54859,anomaly
26052,anomaly
121090,normal
117104,normal
23160,normal
77005,anomaly
125028,normal
119271,normal
65396,anomaly
37237,normal
114347,normal
51204,normal
15869,anomaly
73371,normal
119254,normal
24222,normal
125892,anomaly
71529,normal
95663,normal
52174,normal
67452,normal
88542,normal
96230,normal
91274,normal
99190,normal
62488,anomaly
50162,anomaly
103233,anomaly
61573,normal
31299,normal
117680,normal
63259,normal
94827,normal
43072,normal
15548,anomaly
13623,normal
7908,normal
92977,anomaly
101130,anomaly
107705,normal
17210,normal
2008,normal
62990,normal
59060,normal
5727,anomaly
17053,normal
19400,anomaly
27999,anomaly
84993,normal
77461,anomaly
17855,anomaly
53078,normal
59462,normal
125467,anomaly
39538,anomaly
70814,normal
123255,anomaly
19414,normal
55542,anomaly
115385,anomaly
120304,anomaly
48767,normal
104465,anomaly
120130,anomaly
23441,normal
16012,anomaly
24068,normal
95671,normal
82656,normal
44282,anomaly
22397,normal
44754,anomaly
103525,normal
28271,normal
96538,anomaly
42265,normal
41905,normal
43079,normal
104845,anomaly
6975,anomaly
112105,anomaly
19280,anomaly
28219,anomaly
9577,anomaly
51139,normal
67498,normal
6973,anomaly
17931,normal
99923,anomaly
1606,anomaly
64861,anomaly
75468,normal
80813,anomaly
6962,normal
22651,normal
60075,normal
5627,anomaly
60122,normal
113694,anomaly
117345,normal
101649,normal
43223,anomaly
75460,normal
19694,normal
118145,normal
3013,anomaly
33636,anomaly
89061,anomaly
71528,normal
70520,anomaly
125772,normal
95963,anomaly
7378,normal
82749,normal
16538,normal
49093,anomaly
67960,normal
64507,normal
92559,normal
80945,anomaly
34275,normal
57220,anomaly
68538,normal
122965,normal
46555,normal
102286,normal
112814,anomaly
100415,normal
115905,anomaly
10569,anomaly
63438,normal
8753,normal
80798,normal
53491,anomaly
70626,anomaly
6193,normal
82170,normal
26253,normal
46388,normal
42755,anomaly
80657,normal
26868,normal
106613,anomaly
29729,anomaly
72286,anomaly
39627,anomaly
104144,normal
91392,normal
68224,normal
62314,anomaly
51336,anomaly
1331,normal
42839,normal
76931,anomaly
71251,anomaly
22238,normal
76238,anomaly
58846,normal
63292,anomaly
85532,normal
11316,normal
51075,anomaly
93989,normal
18817,normal
24199,anomaly
2863,anomaly
81599,normal
80784,normal
103045,normal
87758,normal
40027,normal
86666,anomaly
105377,normal
105974,normal
124914,anomaly
95168,normal
89674,normal
51228,normal
64812,normal
102389,normal
14493,anomaly
62764,normal
72616,anomaly
9670,anomaly
50287,anomaly
20418,normal
55858,anomaly
4057,anomaly
15763,anomaly
8658,anomaly
103277,anomaly
71829,anomaly
59406,normal
17515,anomaly
19043,normal
61151,anomaly
50055,normal
45910,normal
73081,anomaly
75183,anomaly
46770,normal
43661,normal
33710,anomaly
81102,anomaly
32176,normal
64568,normal
72477,normal
99184,normal
81092,anomaly
113223,normal
29790,anomaly
89512,anomaly
64358,normal
58790,anomaly
53748,normal
15924,anomaly
87791,normal
124489,normal
32310,anomaly
42149,normal
49749,normal
18597,normal
52067,normal
6029,anomaly
20916,anomaly
93551,anomaly
64401,normal
8610,normal
56122,normal
31202,anomaly
104519,normal
113185,anomaly
104005,normal
57629,anomaly
96351,anomaly
25950,normal
38429,anomaly
107473,normal
104796,normal
52363,normal
103846,anomaly
33616,normal
21025,normal
35033,anomaly
107849,normal
66144,normal
25234,anomaly
17464,normal
38420,anomaly
114754,normal
48982,normal
38127,anomaly
11380,normal
9177,normal
9521,anomaly
103875,anomaly
29248,anomaly
37285,normal
98518,anomaly
16197,anomaly
85661,anomaly
13697,normal
97645,normal
74837,normal
16437,anomaly
86177,normal
41236,normal
15071,normal
50595,normal
29010,anomaly
68722,normal
8391,normal
113832,anomaly
39111,anomaly
118340,anomaly
61668,anomaly
103043,normal
29172,normal
33652,anomaly
62234,anomaly
61310,normal
66209,normal
89732,anomaly
117730,anomaly
27611,normal
79112,normal
123320,anomaly
83303,normal
112657,normal
89529,normal
1127,normal
83580,normal
7741,anomaly
117088,normal
66020,normal
97331,normal
46965,normal
16592,normal
65174,normal
64519,normal
84813,anomaly
106952,normal
122302,normal
41364,anomaly
118037,normal
57382,anomaly
94339,normal
71753,normal
2561,normal
36920,anomaly
112200,anomaly
95630,normal
55285,anomaly
28118,anomaly
106724,normal
60331,anomaly
96048,anomaly
64083,normal
17730,anomaly
85175,normal
78600,normal
20626,normal
15959,normal
117793,anomaly
44532,normal
89243,anomaly
27761,normal
34541,normal
56150,anomaly
7258,normal
118342,anomaly
62951,normal
70696,anomaly
33554,normal
63098,normal
42140,anomaly
89777,anomaly
117123,anomaly
100214,normal
1453,anomaly
119521,anomaly
101198,normal
116974,anomaly
34870,normal
124580,normal
6769,anomaly
83690,normal
94976,normal
94490,anomaly
123506,normal
96627,anomaly
106101,normal
21365,anomaly
95364,normal
24981,normal
110347,normal
123810,normal
69788,normal
15269,anomaly
55458,normal
51447,normal
64238,anomaly
99968,normal
101965,anomaly
90126,normal
87853,normal
47091,normal
69826,normal
86632,anomaly
46990,normal
26068,anomaly
36489,normal
103178,anomaly
90897,normal
33640,anomaly
36887,normal
84513,normal
2248,normal
39364,normal
47762,normal
35237,anomaly
2229,anomaly
71508,normal
8910,normal
121957,normal
119985,normal
104867,anomaly
59628,normal
100634,anomaly
110796,normal
43817,normal
125006,normal
40269,normal
22508,anomaly
65511,anomaly
48962,anomaly
72211,anomaly
109135,normal
16776,normal
37143,normal
86997,normal
55683,anomaly
2672,anomaly
97634,normal
60682,anomaly
57082,anomaly
28258,anomaly
107378,normal
27184,anomaly
41009,normal
41737,normal
90171,anomaly
41818,anomaly
67844,normal
45691,anomaly
50515,anomaly
26538,normal
2197,anomaly
84053,normal
120369,normal
74524,normal
48944,normal
50771,normal
25932,anomaly
46677,normal
96781,anomaly
33614,normal
111995,normal
78952,anomaly
30051,anomaly
82444,anomaly
13516,anomaly
29119,normal
110067,normal
30730,normal
21647,normal
115318,normal
92581,anomaly
120487,normal
106220,normal
5855,normal
78057,normal
36092,normal
34780,normal
53320,anomaly
34244,anomaly
31642,normal
121089,normal
100289,anomaly
85946,normal
20699,normal
28070,normal
19042,anomaly
90595,normal
41333,normal
57048,anomaly
27505,anomaly
81907,normal
125370,anomaly
89555,anomaly
48331,anomaly
103436,normal
81647,anomaly
8725,anomaly
63068,normal
104662,anomaly
110073,anomaly
52643,anomaly
102140,anomaly
29544,anomaly
48096,normal
120888,normal
46748,normal
33631,anomaly
91885,normal
62720,normal
21060,anomaly
75732,normal
56070,anomaly
28908,anomaly
55091,anomaly
42071,normal
21831,anomaly
34329,anomaly
79617,normal
20015,anomaly
110586,normal
6512,anomaly
57397,anomaly
29271,anomaly
119853,normal
87650,normal
29341,normal
91578,anomaly
33611,normal
114433,anomaly
54037,normal
68414,anomaly
24383,anomaly
76450,anomaly
46302,anomaly
99483,anomaly
15101,anomaly
96625,anomaly
98825,normal
43212,anomaly
114178,anomaly
81535,anomaly
53980,normal
39933,anomaly
77851,anomaly
18753,normal
112630,anomaly
85101,normal
105316,normal
67815,anomaly
54114,normal
90872,anomaly
70834,anomaly
32170,anomaly
61280,anomaly
14754,anomaly
40226,anomaly
121383,normal
73665,anomaly
9632,normal
61647,normal
78738,anomaly
93991,normal
94603,normal
52359,normal
86568,normal
49905,anomaly
6314,anomaly
2750,normal
54755,anomaly
79528,normal
31439,normal
80856,anomaly
105624,normal
21651,anomaly
40187,normal
121975,anomaly
20335,anomaly
13710,anomaly
51264,normal
38194,normal
40150,anomaly
919,anomaly
3441,anomaly
42389,normal
108593,normal
31138,normal
96596,anomaly
27308,anomaly
12019,anomaly
62186,anomaly
48301,normal
91262,anomaly
49821,normal
106460,normal
20118,anomaly
69536,normal
48498,normal
48088,normal
113061,normal
23023,normal
98986,anomaly
76517,normal
97738,anomaly
4997,normal
77890,normal
123870,anomaly
5228,normal
1726,anomaly
520,anomaly
72767,anomaly
86647,normal
70294,anomaly
32313,anomaly
57494,normal
9668,anomaly
40528,normal
108127,normal
33048,anomaly
19196,normal
1397,normal
6526,normal
115697,normal
66589,normal
19667,anomaly
8343,anomaly
51704,anomaly
83250,anomaly
107126,anomaly
14611,normal
125669,anomaly
51840,anomaly
84407,normal
55628,normal
43123,normal
54872,anomaly
84563,normal
85394,normal
104577,normal
80411,normal
68375,anomaly
54179,normal
13941,normal
8448,normal
30819,normal
1167,normal
37340,normal
39273,anomaly
10690,anomaly
74207,anomaly
109229,anomaly
125850,normal
9370,normal
10419,normal
50927,anomaly
88310,normal
25513,normal
78614,normal
89873,normal
23590,anomaly
117129,normal
122450,normal
81601,normal
24857,normal
79362,anomaly
112465,anomaly
115058,normal
7709,anomaly
67392,normal
113585,normal
65367,normal
67536,anomaly
97937,anomaly
16457,anomaly
74309,normal
84034,anomaly
66785,normal
2269,normal
54982,anomaly
33638,anomaly
78324,anomaly
29751,anomaly
4978,anomaly
115430,normal
60783,anomaly
39868,normal
43423,anomaly
50960,normal
7177,normal
41330,anomaly
113357,anomaly
94878,normal
7885,anomaly
83909,anomaly
95636,normal
25936,anomaly
81044,normal
40889,normal
39654,normal
88105,anomaly
95033,normal
1314,normal
41667,normal
17244,anomaly
123214,anomaly
97622,normal
68565,normal
41951,anomaly
112066,normal
54618,normal
5503,normal
46682,normal
16330,normal
66654,normal
9118,normal
91872,normal
89728,normal
93683,anomaly
64493,anomaly
94298,anomaly
56380,anomaly
10948,normal
43465,normal
3445,normal
16581,normal
8761,normal
59390,anomaly
65319,anomaly
61582,anomaly
39753,anomaly
24724,anomaly
103531,normal
31684,normal
32120,anomaly
61403,normal
62334,normal
33624,normal
60370,normal
34817,normal
110221,normal
41096,anomaly
38883,anomaly
23512,anomaly
21095,normal
18927,normal
94130,normal
65607,normal
124585,normal
57234,anomaly
60479,normal
45016,anomaly
45561,normal
40648,normal
18698,normal
53643,anomaly
45841,normal
125206,normal
122102,normal
31951,anomaly
21706,normal
43107,normal
32345,normal
754,anomaly
88511,normal
2974,normal
53587,anomaly
37008,normal
75905,normal
53847,anomaly
58340,normal
98243,anomaly
99729,anomaly
40968,anomaly
13853,normal
97577,anomaly
114941,anomaly
28569,anomaly
59017,anomaly
118496,normal
112104,anomaly
98254,normal
58725,anomaly
20564,normal
35715,anomaly
104006,normal
41891,normal
63773,anomaly
69186,anomaly
9648,normal
116833,anomaly
120521,anomaly
31784,normal
97571,normal
80480,anomaly
117233,normal
6287,anomaly
9592,anomaly
7327,normal
34044,normal
12511,anomaly
38096,normal
78870,normal
121703,anomaly
104575,anomaly
94516,anomaly
66005,anomaly
52138,anomaly
68181,normal
116865,normal
112747,normal
55083,normal
86809,normal
47633,anomaly
80057,normal
24247,normal
68663,normal
115973,anomaly
88282,normal
15001,normal
33930,anomaly
101108,anomaly
73286,normal
49436,normal
1685,normal
25531,normal
96685,normal
40933,anomaly
41396,anomaly
74550,normal
111965,normal
20157,anomaly
78889,normal
57336,anomaly
21913,anomaly
26018,anomaly
64601,anomaly
46027,normal
72125,normal
44955,normal
68954,anomaly
48602,anomaly
81558,anomaly
24108,anomaly
30122,normal
11428,normal
119971,normal
24664,normal
11067,anomaly
83734,anomaly
37731,normal
123587,normal
42830,normal
90191,normal
69424,normal
79402,normal
1856,normal
42961,anomaly
28663,normal
1433,anomaly
112461,normal
26669,anomaly
17712,anomaly
13647,anomaly
63424,normal
22790,anomaly
95796,normal
34945,anomaly
48177,normal
20761,normal
75098,normal
25210,normal
38833,normal
23863,normal
75903,anomaly
21466,normal
109605,normal
82803,anomaly
83083,normal
36664,anomaly
88221,normal
20126,normal
66733,normal
28321,anomaly
38970,anomaly
15490,anomaly
53133,normal
75185,normal
81923,normal
117831,normal
76416,normal
35948,anomaly
65418,anomaly
4264,normal
74620,anomaly
74983,normal
88440,normal
122535,normal
62967,normal
60915,normal
60838,normal
43912,anomaly
48827,normal
49998,anomaly
29243,anomaly
52830,normal
82885,anomaly
63186,normal
108340,normal
61251,normal
46351,anomaly
104893,normal
24412,anomaly
58992,normal
81359,anomaly
62427,normal
72466,normal
88042,normal
109399,normal
75825,normal
12761,normal
483,normal
4181,anomaly
103448,anomaly
58281,anomaly
105149,normal
117838,normal
21382,normal
93888,anomaly
4310,normal
42479,normal
39956,anomaly
30644,normal
102212,anomaly
117122,anomaly
52491,normal
99845,normal
6257,anomaly
117896,anomaly
57296,anomaly
12517,normal
68325,anomaly
88168,normal
115392,anomaly
24032,anomaly
117285,normal
116116,anomaly
28166,normal
42575,anomaly
114090,normal
90119,normal
75991,normal
48319,normal
12327,normal
39535,normal
111499,normal
108186,anomaly
87871,normal
18636,anomaly
14299,normal
102206,normal
64300,anomaly
69147,anomaly
31133,normal
57774,normal
42927,anomaly
44375,anomaly
104339,anomaly
20076,anomaly
90393,anomaly
24252,anomaly
54430,anomaly
36302,normal
14036,anomaly
70376,anomaly
41426,normal
35876,normal
117323,normal
94133,normal
3130,anomaly
8845,normal
78917,normal
76795,normal
115585,normal
25139,anomaly
8481,normal
100836,anomaly
110367,anomaly
97650,anomaly
93263,normal
90598,normal
95501,normal
32566,normal
22292,anomaly
83498,anomaly
45903,normal
44823,normal
15197,normal
121105,normal
29106,anomaly
34088,anomaly
18151,normal
93711,anomaly
12483,normal
40624,anomaly
51718,anomaly
24169,anomaly
58868,normal
53935,normal
3777,normal
104983,normal
6913,normal
115222,anomaly
13399,normal
1748,anomaly
8233,normal
97923,normal
65194,anomaly
18182,normal
43973,normal
97304,normal
15625,anomaly
123887,normal
113994,normal
102078,anomaly
61464,normal
55104,anomaly
97528,normal
85344,normal
6896,anomaly
71748,normal
4572,normal
118554,anomaly
10048,normal
95478,normal
12052,anomaly
19985,anomaly
35251,anomaly
60885,anomaly
25780,anomaly
51647,normal
4898,anomaly
4904,normal
74241,anomaly
100715,normal
38901,anomaly
84773,anomaly
5333,anomaly
73199,normal
121056,anomaly
7191,anomaly
65787,anomaly
16974,anomaly
119638,normal
40237,normal
68188,anomaly
121161,normal
97030,anomaly
115689,anomaly
95403,normal
25768,normal
43092,normal
125847,normal
33634,normal
110716,anomaly
31246,anomaly
47146,normal
27538,normal
23912,anomaly
33842,anomaly
82716,anomaly
87177,normal
63263,anomaly
123900,normal
107895,normal
90160,anomaly
96956,anomaly
25106,anomaly
95274,anomaly
77276,normal
117266,anomaly
81663,anomaly
92074,anomaly
117849,anomaly
62390,anomaly
3000,normal
65187,normal
111254,normal
42008,normal
38471,normal
77153,anomaly
13592,normal
80445,normal
54188,anomaly
11092,normal
36529,normal
60401,anomaly
51679,normal
66464,normal
72529,anomaly
75347,anomaly
122342,normal
24781,anomaly
112874,normal
58058,anomaly
108932,anomaly
121243,normal
43287,normal
24046,normal
79805,anomaly
55587,anomaly
94676,normal
37875,normal
3977,anomaly
52325,normal
104308,anomaly
108853,anomaly
68465,anomaly
123705,normal
55156,anomaly
16228,anomaly
110358,anomaly
120795,anomaly
36125,anomaly
39425,anomaly
88647,anomaly
105339,anomaly
101231,anomaly
100079,anomaly
17402,normal
41188,anomaly
117530,anomaly
46532,anomaly
19890,anomaly
102779,anomaly
57869,normal
42236,anomaly
44174,normal
85503,anomaly
46933,normal
91799,anomaly
112708,anomaly
7366,normal
16295,normal
79156,normal
112645,normal
26650,anomaly
17348,normal
56189,anomaly
22679,normal
46088,anomaly
36338,anomaly
111729,anomaly
27451,normal
63596,anomaly
118597,normal
75441,normal
21667,normal
103610,anomaly
106340,normal
109747,anomaly
45837,anomaly
116611,anomaly
10674,anomaly
65728,normal
83089,anomaly
72929,normal
106701,normal
96842,normal
84091,normal
26171,normal
15176,normal
69722,normal
82497,normal
34402,normal
35149,normal
119645,normal
121252,anomaly
105639,normal
16671,normal
33394,normal
125956,normal
28246,normal
112199,normal
7886,anomaly
44127,anomaly
115312,normal
60725,anomaly
91292,anomaly
62905,normal
18790,anomaly
31057,anomaly
92793,normal
119015,normal
58030,normal
28846,normal
6631,normal
8327,normal
86965,normal
98051,anomaly
11032,anomaly
17695,anomaly
4879,normal
62340,anomaly
56274,normal
109917,normal
85299,normal
25383,anomaly
105503,normal
84542,normal
57269,normal
23002,anomaly
23539,anomaly
58710,anomaly
75228,anomaly
109437,anomaly
67302,normal
36960,normal
24716,anomaly
97311,normal
70944,normal
42966,anomaly
33015,anomaly
71434,normal
48922,normal
57749,anomaly
11848,normal
78935,anomaly
99759,anomaly
64978,anomaly
8424,anomaly
102472,anomaly
37382,anomaly
107209,anomaly
5500,normal
96521,normal
120008,normal
25429,anomaly
73837,normal
47170,anomaly
112677,anomaly
6558,normal
5803,normal
26642,normal
124078,anomaly
34653,normal
55317,anomaly
12075,normal
74558,normal
111980,normal
116740,normal
43853,normal
28515,anomaly
108019,anomaly
11458,anomaly
59723,anomaly
110867,anomaly
81388,normal
604,normal
79506,normal
104113,normal
104311,normal
47626,anomaly
32193,anomaly
17516,normal
45934,normal
46438,anomaly
110995,normal
61322,normal
87528,normal
78779,anomaly
18528,normal
2463,normal
4440,anomaly
25922,anomaly
115242,normal
100627,normal
65394,anomaly
30722,normal
115062,normal
5933,anomaly
20636,anomaly
116358,normal
97892,anomaly
83659,anomaly
4074,normal
114898,normal
6127,anomaly
8742,anomaly
8084,normal
22749,normal
31964,anomaly
42847,normal
87653,normal
35007,normal
88387,anomaly
61547,normal
54227,anomaly
67934,anomaly
34099,anomaly
113275,anomaly
63121,normal
24423,anomaly
44615,anomaly
23701,normal
117632,anomaly
26060,anomaly
95128,anomaly
117620,anomaly
97141,normal
44341,normal
62609,anomaly
52743,normal
